,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,70.86,70.86,70.86,70.86,70.86,70.86,70.87,70.87
Public,29.14,29.14,29.14,29.14,29.14,29.14,29.14,29.14
No. of Shareholders,1582.0,1582.0,1560.0,1560.0,1560.0,1560.0,1560.0,1567.0
