,2011-03-01,2012-03-01,2013-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,19,19,19,20,8,8,10,10,10,10,10,12,12
Reserves,139,103,116,70,33,22,33,22,17,20,26,48,47
Borrowings,31,30,26,0,0,0,0,0,14,30,34,60,70
Other Liabilities,37,43,31,5,12,7,9,5,7,8,6,10,13
Total Liabilities,226,195,192,95,53,37,52,36,48,67,76,130,142
Fixed Assets,173,133,133,3,5,6,4,1,2,3,2,7,6
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,0,2,1,80,34,20,8,0,0,0,0,0,0
Other Assets,53,60,58,12,14,11,41,35,46,65,73,123,136
Total Assets,226,195,192,95,53,37,52,36,48,67,76,130,142
