,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,May 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.00,0.90,3.68,5.19,0.0,8.3,11.03,16.0,28.28,50.01,70.19,70.76
Expenses,0.01,0.00,0.84,3.13,4.59,0.0,6.85,8.81,13.95,26.05,46.4,62.91,63.14
Operating Profit,-0.01,0.00,0.06,0.55,0.60,0.0,1.45,2.22,2.05,2.23,3.61,7.28,7.62
OPM %,,,6.67,14.95,11.56,,17.47,20.13,12.81,7.89,7.22,10.37,10.77
Other Income,0.00,0.00,0.07,0.15,0.14,0.0,0.12,0.11,0.37,0.8,1.0,1.75,1.36
Interest,0.00,0.00,0.15,0.25,0.27,0.0,0.23,0.28,0.25,0.3,0.35,0.35,0.51
Depreciation,0.01,0.03,0.36,0.41,0.39,0.0,0.49,0.79,0.84,0.83,1.01,1.0,0.99
Profit before tax,-0.02,-0.03,-0.38,0.04,0.08,0.0,0.85,1.26,1.33,1.9,3.25,7.68,7.48
Tax %,50.00,33.33,31.58,50.00,37.50,,28.24,29.37,26.32,28.95,24.0,25.52,
Net Profit,-0.01,-0.02,-0.27,0.03,0.05,0.0,0.61,0.89,0.97,1.34,2.47,5.73,5.57
EPS in Rs,,,,,,0.0,0.21,0.3,0.33,0.44,0.78,1.73,1.67
