,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
DIIs,25.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0
Government,0.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
Public,24.0,23.99,23.99,23.99,24.0,24.0,24.0,24.0
No. of Shareholders,12668.0,11999.0,11702.0,11564.0,11590.0,11492.0,11525.0,11515.0
