,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.04,0.04,0.04,0.04,0.03,10.48,10.48,10.48
Reserves,19.7,20.94,24.41,25.58,26.59,44.71,53.68,57.84
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,2.54,2.17,3.01,3.89,5.1,19.31,6.66,6.87
Total Liabilities,22.28,23.15,27.46,29.51,31.72,74.5,70.82,75.19
Fixed Assets,0.62,0.5,0.9,0.85,0.73,0.66,0.93,1.01
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,3.82,3.76,1.55,4.79,4.87,3.55,3.55
Other Assets,21.66,18.83,22.8,27.11,26.2,68.97,66.34,70.63
Total Assets,22.28,23.15,27.46,29.51,31.72,74.5,70.82,75.19
