,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,75.28,67.67,70.60,63.56,69.51,62.13,65.16
Inventory Days,,,,,,,
Days Payable,,,,,,,
Cash Conversion Cycle,75.28,67.67,70.60,63.56,69.51,62.13,65.16
Working Capital Days,30.59,46.24,65.94,76.65,10.54,-184.26,15.57
ROCE %,,10.81,22.67,23.37,33.35,29.97,20.31
