,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,12.17,11.92,14.89,15.62,18.01,23.91,20.39,20.95
Expenses,10.39,10.39,10.8,11.06,10.07,13.06,11.25,12.41
Operating Profit,1.78,1.53,4.09,4.56,7.94,10.85,9.14,8.54
OPM %,14.63,12.84,27.47,29.19,44.09,45.38,44.83,40.76
Other Income,1.42,1.07,0.9,-2.76,1.4,1.74,3.14,3.46
Interest,0.0,0.0,0.0,0.01,0.04,0.05,0.0,0.00
Depreciation,0.31,0.37,0.19,0.28,0.3,0.32,0.26,0.30
Profit before tax,2.89,2.23,4.8,1.51,9.0,12.22,12.02,11.70
Tax %,34.26,44.39,27.5,22.52,25.44,23.81,25.46,
Net Profit,1.91,1.23,3.48,1.17,6.71,9.31,8.97,8.55
EPS in Rs,449.41,289.41,818.82,275.29,2096.88,8.88,8.56,8.16
