,2022-03-01,2023-03-01,2023-09-01
Promoters,70.2,70.2,70.2
FIIs,0.0,4.34,4.19
DIIs,11.45,1.77,0.7
Public,18.34,23.69,24.91
No. of Shareholders,954.0,671.0,766.0
