,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,11.37,11.37,12.54,9.87,10.52,10.43
Expenses,6.14,6.14,6.97,5.24,6.03,6.38
Operating Profit,5.23,5.23,5.57,4.63,4.49,4.05
OPM %,46.0,46.0,44.42,46.91,42.68,38.83
Other Income,0.83,0.83,0.91,1.49,1.67,1.79
Interest,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.16,0.16,0.15,0.12,0.14,0.16
Profit before tax,5.9,5.9,6.33,6.0,6.02,5.68
Tax %,26.78,26.78,21.01,23.83,26.91,26.94
Net Profit,4.31,4.31,5.0,4.58,4.39,4.16
EPS in Rs,1346.88,1346.88,4.77,4.37,4.19,3.97
