,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,32.75,37.08,31.94,37.0
Expenses,29.6,32.76,30.59,35.14
Operating Profit,3.15,4.32,1.35,1.86
OPM %,9.62,11.65,4.23,5.03
Other Income,0.37,0.5,3.0,3.24
Interest,1.43,1.42,1.44,1.85
Depreciation,1.62,1.66,1.57,1.59
Profit before tax,0.47,1.74,1.34,1.66
Tax %,0.0,0.0,0.0,0.0
Net Profit,0.47,1.74,1.34,1.66
EPS in Rs,0.24,0.88,0.67,0.84
