,2011-03-01,2012-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6.25,6.25,6.25,15.0,15.0,21.42,21.42,21.42,21.42,21.42,21.42,21.42
Reserves,0.76,0.84,3.26,3.77,4.43,18.14,21.48,23.81,24.66,30.81,34.65,32.96
Borrowings,31.85,37.4,55.32,49.88,47.23,46.67,41.98,39.53,43.73,42.51,36.94,37.17
Other Liabilities,3.19,4.28,39.18,15.24,21.09,26.35,11.96,16.08,10.29,21.31,13.07,14.99
Total Liabilities,42.05,48.77,104.01,83.89,87.75,112.58,96.84,100.84,100.1,116.05,106.08,106.54
Fixed Assets,17.69,20.41,14.91,13.02,11.46,10.59,9.56,8.4,7.41,6.77,6.97,5.98
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,24.36,28.36,89.1,70.87,76.29,101.99,87.28,92.44,92.69,109.28,99.06,100.56
Total Assets,42.05,48.77,104.01,83.89,87.75,112.58,96.84,100.84,100.1,116.05,106.08,106.54
