,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,17.16,17.24,17.82,24.79,23.83,26.67,28.99,30.1,29.54
Expenses,15.89,15.68,16.63,22.39,21.33,23.89,26.49,26.9,26.77
Operating Profit,1.27,1.56,1.19,2.4,2.5,2.78,2.5,3.2,2.77
OPM %,7.4,9.05,6.68,9.68,10.49,10.42,8.62,10.63,9.38
Other Income,0.42,0.51,0.56,0.51,0.26,0.29,0.29,0.4,0.39
Interest,0.22,0.17,0.16,0.24,0.28,0.37,0.67,0.42,0.58
Depreciation,0.52,0.55,0.5,0.59,0.69,0.69,0.67,0.72,0.63
Profit before tax,0.95,1.35,1.09,2.08,1.79,2.01,1.45,2.46,1.95
Tax %,21.05,25.93,27.52,26.44,25.14,26.87,35.86,21.95,21.54
Net Profit,0.75,1.0,0.79,1.54,1.35,1.47,0.94,1.92,1.54
EPS in Rs,0.73,0.98,0.77,1.51,1.32,1.44,0.92,1.88,1.51
