,2021-03-01,2022-03-01,2023-03-01
Debtor Days,140.0,78,94
Inventory Days,,,
Days Payable,,,
Cash Conversion Cycle,140.0,78,94
Working Capital Days,277.0,-47,79
ROCE %,,-27,-14
