,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,35.0,56.0,74.0,73
Expenses,68.0,73.0,91.0,99
Operating Profit,-33.0,-17.0,-17.0,-26
OPM %,-92.0,-30.0,-22.0,-36
Other Income,-16.0,4.0,6.0,14
Interest,4.0,2.0,4.0,8
Depreciation,8.0,9.0,12.0,13
Profit before tax,-61.0,-23.0,-26.0,-33
Tax %,0.0,-7.0,-10.0,
Net Profit,-61.0,-25.0,-28.0,-37
EPS in Rs,-10.41,-4.53,-4.84,-4.92
