,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,12.0,9.0,14.0,15.0,18.0,17.0,20.0,18.0,20.0,16.0,19.0
Expenses,19.0,17.0,18.0,17.0,22.0,22.0,20.0,22.0,28.0,24.0,26.0
Operating Profit,-7.0,-8.0,-3.0,-2.0,-4.0,-5.0,-1.0,-3.0,-8.0,-8.0,-7.0
OPM %,-56.0,-82.0,-22.0,-15.0,-23.0,-31.0,-3.0,-17.0,-41.0,-52.0,-36.0
Other Income,-17.0,1.0,1.0,-0.0,3.0,2.0,0.0,1.0,3.0,6.0,4.0
Interest,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0
Depreciation,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0
Profit before tax,-26.0,-9.0,-5.0,-5.0,-4.0,-6.0,-4.0,-6.0,-9.0,-8.0,-10.0
Tax %,1.0,-2.0,-12.0,-8.0,-12.0,-4.0,-17.0,-8.0,-11.0,-11.0,-8.0
Net Profit,-26.0,-9.0,-5.0,-6.0,-5.0,-6.0,-5.0,-7.0,-10.0,-9.0,-11.0
EPS in Rs,-4.18,-1.73,-0.97,-1.0,-0.84,-1.12,-0.68,-1.06,-1.99,-0.79,-1.08
