,2017-12-01,2018-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,10.19,0.0,10.41,1.79,1.79,11.77,2.12,3.14,4.07
Expenses,9.57,0.0,10.4,1.62,1.62,10.93,2.73,3.07,3.72
Operating Profit,0.62,0.0,0.01,0.17,0.17,0.84,-0.61,0.07,0.35
OPM %,6.08,,0.1,9.5,9.5,7.14,-28.77,2.23,8.6
Other Income,0.00,0.0,0.41,0.0,0.0,-0.4,1.29,0.25,0.05
Interest,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.01,0.0,0.03,0.01,0.01,0.0,0.02,0.01,0.01
Profit before tax,0.61,0.0,0.39,0.16,0.16,0.44,0.66,0.31,0.39
Tax %,9.84,,0.0,12.5,12.5,11.36,33.33,16.13,5.13
Net Profit,0.55,0.0,0.39,0.14,0.14,0.39,0.44,0.27,0.38
EPS in Rs,,0.0,0.38,0.14,0.14,0.38,0.43,0.26,0.37
