,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.9,6.12,6.12,6.12,6.12,10.19,10.19
Reserves,1.19,6.86,6.89,7.03,7.56,4.26,4.9
Borrowings,0.0,0.08,0.05,0.02,0.0,0.0,0.0
Other Liabilities,2.38,0.4,0.54,0.34,0.45,0.71,0.77
Total Liabilities,7.47,13.46,13.6,13.51,14.13,15.16,15.86
Fixed Assets,0.13,0.24,0.22,0.2,0.18,0.17,0.19
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,2.38,3.01,1.69,0.11,0.11
Other Assets,7.34,13.22,11.0,10.3,12.26,14.88,15.56
Total Assets,7.47,13.46,13.6,13.51,14.13,15.16,15.86
