,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.07,1.38,2.13,32.28,34.62
Expenses,0.82,1.89,2.5,33.15,39.35
Operating Profit,-0.75,-0.51,-0.37,-0.87,-4.73
OPM %,-1071.43,-36.96,-17.37,-2.7,-13.66
Other Income,0.73,2.11,0.98,1.78,1.00
Interest,0.1,0.03,0.21,1.2,1.30
Depreciation,0.11,0.11,0.25,1.07,1.10
Profit before tax,-0.23,1.46,0.15,-1.36,-6.13
Tax %,0.0,2.74,113.33,-30.15,
Net Profit,-0.24,1.41,-0.02,-1.77,-6.44
EPS in Rs,-0.14,0.83,0.1,-0.4,-1.99
