,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.07,5.02,5.13,3.45,11.34,10.08,13.22,11.84,2.76,24.0,47.68,26.45
Expenses,0.07,4.76,4.88,3.64,10.95,10.0,12.87,11.63,3.36,23.29,47.74,27.14
Operating Profit,0.00,0.26,0.25,-0.19,0.39,0.08,0.35,0.21,-0.6,0.71,-0.06,-0.69
OPM %,0.00,5.18,4.87,-5.51,3.44,0.79,2.65,1.77,-21.74,2.96,-0.13,-2.61
Other Income,0.00,0.0,0.0,0.0,0.08,0.17,0.06,0.13,0.21,0.27,0.66,0.71
Interest,0.00,0.36,0.08,0.01,0.02,0.01,0.01,0.01,0.0,0.03,0.05,0.08
Depreciation,0.00,0.13,0.21,0.06,0.04,0.09,0.13,0.14,0.14,0.13,0.21,0.25
Profit before tax,0.00,-0.23,-0.04,-0.26,0.41,0.15,0.27,0.19,-0.53,0.82,0.34,-0.31
Tax %,,34.78,-50.0,-15.38,9.76,46.67,25.93,42.11,0.0,4.88,32.35,
Net Profit,0.00,-0.16,-0.05,-0.3,0.38,0.08,0.21,0.11,-0.53,0.77,0.24,-0.37
EPS in Rs,0.00,-0.27,-0.0,-0.01,0.01,0.0,0.0,0.0,-0.01,0.02,0.01,-0.02
