,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.1,0.1,2.84,2.84,5.09,6.98,10.47,10.47,10.47,10.47,28.01,28.01
Reserves,0.0,-0.16,-0.21,-0.51,0.32,3.62,0.21,0.11,-0.42,0.34,1.81,1.4
Borrowings,0.96,4.25,0.88,0.01,0.0,0.0,0.3,0.0,0.15,1.44,2.16,3.27
Other Liabilities,2.65,2.39,2.29,0.5700000000000001,0.86,1.55,3.6,4.35,4.23,8.44,16.66,9.35
Total Liabilities,3.71,6.58,5.8,2.91,6.27,12.15,14.58,14.93,14.43,20.69,48.64,42.03
Fixed Assets,0.0,0.96,0.8300000000000001,0.05,0.86,1.05,1.27,1.26,1.1,0.11,0.88,0.74
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,1.7000000000000002
Other Assets,3.71,5.62,4.97,2.86,5.41,11.1,13.31,13.67,13.33,20.58,47.2,39.59
Total Assets,3.71,6.58,5.8,2.91,6.27,12.15,14.58,14.93,14.43,20.69,48.64,42.03
