,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,9.16,14.42,14.54,13.23,12.99,10.9,15.08,12.81,12.78,14.03,14.48,26.84,30.55
Expenses,8.68,13.5,13.77,12.5,12.49,10.96,14.04,11.78,11.87,12.58,14.04,24.84,27.71
Operating Profit,0.48,0.92,0.77,0.73,0.5,-0.06,1.04,1.03,0.91,1.45,0.44,2.0,2.84
OPM %,5.24,6.38,5.3,5.52,3.85,-0.55,6.9,8.04,7.12,10.33,3.04,7.45,9.30
Other Income,0.09,0.12,0.18,0.18,0.37,0.27,0.69,0.24,0.23,0.64,0.16,0.27,0.00
Interest,0.16,0.14,0.2,0.26,0.21,0.2,0.13,0.15,0.32,0.47,0.46,0.47,0.40
Depreciation,0.28,0.29,0.32,0.52,0.41,0.38,0.33,0.32,0.66,1.27,1.09,0.81,0.94
Profit before tax,0.13,0.61,0.43,0.13,0.25,-0.37,1.27,0.8,0.16,0.35,-0.95,0.99,1.50
Tax %,30.77,36.07,37.21,38.46,32.0,-18.92,22.05,26.25,68.75,31.43,30.53,22.22,
Net Profit,0.09,0.39,0.27,0.08,0.17,-0.45,0.99,0.59,0.05,0.24,-0.66,0.77,1.00
EPS in Rs,0.18,0.76,0.53,0.16,0.34,-0.89,1.95,1.16,0.1,0.47,-1.3,1.52,1.98
