,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,67.25,67.25,70.82,70.82,74.0,74.0,74.0,74.0
Public,32.75,32.75,29.18,29.18,26.0,26.0,26.0,26.0
No. of Shareholders,2698.0,2542.0,2861.0,2630.0,3009.0,4751.0,4646.0,5877.0
