,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,60.28,81.23,81.03,75.47,0.00,2.87,14.57,24.14,9.38,7.4,13.09,12.52,13.33
Expenses,56.12,73.64,77.14,74.28,5.23,8.37,25.16,31.34,15.16,9.64,12.67,11.42,12.35
Operating Profit,4.16,7.59,3.89,1.19,-5.23,-5.5,-10.59,-7.2,-5.78,-2.24,0.42,1.1,0.98
OPM %,6.9,9.34,4.8,1.58,,-191.64,-72.68,-29.83,-61.62,-30.27,3.21,8.79,7.35
Other Income,3.9,0.99,0.55,53.94,9.98,4.04,2.57,-0.76,1.96,0.82,-7.54,-3.45,-2.16
Interest,2.53,3.78,4.41,4.39,0.03,0.2,1.7,1.89,1.99,1.58,1.08,1.0,0.77
Depreciation,2.78,3.12,4.85,5.96,0.18,0.82,2.6,3.62,3.45,3.11,2.17,2.17,2.05
Profit before tax,2.75,1.68,-4.82,44.78,4.54,-2.48,-12.32,-13.47,-9.26,-6.11,-10.37,-5.52,-4.00
Tax %,62.18,80.36,-30.29,12.93,27.97,-5.24,-1.46,-4.31,7.02,-0.82,2.12,1.81,
Net Profit,1.04,0.33,-6.28,38.99,3.28,-2.61,-12.5,-14.05,-8.61,-6.16,-10.15,-5.42,-4.05
EPS in Rs,1.42,0.43,-8.66,53.59,6.06,-4.78,-22.89,-22.28,-14.23,-10.23,-17.94,-9.25,-6.78
