,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,13,13,13,13,13,13,13,13,13,12
Reserves,197,210,394,444,445,378,513,900,767,790
Borrowings,91,45,30,22,0,4,58,173,163,138
Other Liabilities,9,15,9,8,11,10,69,58,36,39
Total Liabilities,309,282,445,487,468,404,653,1144,979,980
Fixed Assets,89,67,45,32,31,29,28,293,269,253
CWIP,0,0,0,0,0,21,172,2,0,0
Investments,157,162,338,387,387,279,366,715,568,599
Other Assets,63,53,62,67,50,75,87,135,142,127
Total Assets,309,282,445,487,468,404,653,1144,979,980
