,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,,24,24,23,18,40,94,-24,110
Cash from Investing Activity,,0,0,-1,-6,-40,-136,-92,-37
Cash from Financing Activity,,-24,-23,-22,-11,-1,42,115,-41
Net Cash Flow,,0,0,0,1,-1,1,0,32
