,2016-03-01,2016-06-01,2018-12-01,2019-06-01,2019-09-01
Promoters,54.95,56.54,61.42,61.86,62.24
Public,45.05,43.46,38.58,38.14,37.76
No. of Shareholders,1371.0,1389.0,2109.0,1984.0,1958.0
