,2011-03-01,2012-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,8.84,9.07,14.96,17.72,19.88,18.46,20.98,29.46,44.33
Expenses,8.4,8.57,13.6,15.6,17.93,16.71,18.97,26.72,39.99
Operating Profit,0.44,0.5,1.36,2.12,1.95,1.75,2.01,2.74,4.34
OPM %,4.98,5.51,9.09,11.96,9.81,9.48,9.58,9.3,9.79
Other Income,0.0,0.0,0.22,0.15,0.18,0.18,0.33,0.2,0.1
Interest,0.0,0.0,0.11,0.25,0.27,0.32,0.36,0.32,0.5
Depreciation,0.08,0.1,0.37,0.38,0.38,0.41,0.59,0.66,0.92
Profit before tax,0.36,0.4,1.1,1.64,1.48,1.2,1.39,1.96,3.02
Tax %,36.11,62.5,30.91,27.44,31.76,26.67,34.53,23.47,26.49
Net Profit,0.24,0.16,0.75,1.18,1.01,0.89,0.91,1.5,2.23
EPS in Rs,8.15,5.43,21.55,3.08,1.94,1.71,1.75,2.88,4.29
