,2011-03-01,2012-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,190.35,185.92,211.78,214.22,192.6,239.05,230.34,176.92,149.19
Inventory Days,,,6.1,7.08,33.51,44.69,47.13,46.69,24.22
Days Payable,,,211.75,256.81,159.95,199.56,247.45,180.76,144.06
Cash Conversion Cycle,190.35,185.92,6.13,-35.52,66.16,84.18,30.02,42.86,29.36
Working Capital Days,25.19,45.88,79.05,67.36,119.71,141.57,123.17,103.08,81.18
ROCE %,,12.99,,21.08,13.35,8.82,9.85,12.39,16.91
