,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-09-01
Sales,9.31,8.78,9.68,6.76,14.23,14.12,15.34,26.3,23.51
Expenses,8.37,8.02,8.7,5.97,13.03,12.97,13.78,23.34,20.74
Operating Profit,0.94,0.76,0.98,0.79,1.2,1.15,1.56,2.96,2.77
OPM %,10.1,8.66,10.12,11.69,8.43,8.14,10.17,11.25,11.78
Other Income,0.1,0.08,0.1,0.08,0.25,0.11,0.09,0.03,0.01
Interest,0.16,0.2,0.11,0.18,0.16,0.15,0.14,0.18,0.26
Depreciation,0.19,0.17,0.24,0.28,0.31,0.32,0.34,0.4,0.57
Profit before tax,0.69,0.47,0.73,0.41,0.98,0.79,1.17,2.41,1.95
Tax %,36.23,25.53,26.03,26.83,38.78,26.58,22.22,32.37,27.18
Net Profit,0.44,0.35,0.54,0.3,0.61,0.59,0.92,1.63,1.42
EPS in Rs,0.85,0.67,1.04,0.58,1.17,1.13,1.77,3.13,2.73
