,2011-03-01,2012-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.25,0.29,0.35,3.83,5.2,5.2,5.2,5.2,5.2,5.2
Reserves,1.56,2.01,4.45,2.15,6.6,7.44,8.34,9.85,12.07,13.49
Borrowings,0.92,1.13,3.67,3.39,5.04,4.98,4.39,3.83,5.12,6.22
Other Liabilities,4.73,4.75,6.78,9.07,6.64,7.54,10.61,11.35,13.53,15.68
Total Liabilities,7.46,8.18,15.25,18.44,23.48,25.16,28.54,30.23,35.92,40.59
Fixed Assets,2.04,2.44,5.42,5.57,5.65,8.39,10.47,10.53,12.75,17.48
CWIP,0.0,0.0,0.0,0.54,3.16,1.65,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,5.42,5.74,9.83,12.33,14.67,15.12,18.07,19.7,23.17,23.11
Total Assets,7.46,8.18,15.25,18.44,23.48,25.16,28.54,30.23,35.92,40.59
