,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2,2,2,3,3,3,3,3,3,3
Reserves,350,456,529,669,731,859,970,1021,1070,1112
Borrowings,13,4,4,3,2,0,0,0,0,0
Other Liabilities,2,31,70,2,3,6,1,2,1,5
Total Liabilities,366,493,605,677,739,868,974,1026,1074,1120
Fixed Assets,0,0,0,0,0,0,0,0,0,0
CWIP,0,0,0,0,0,0,0,0,0,0
Investments,356,485,589,651,711,836,945,991,1037,1078
Other Assets,10,8,15,25,27,32,29,35,37,42
Total Assets,366,493,605,677,739,868,974,1026,1074,1120
