,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,55.0,45.0,47.0,56.0,66.0,51.0,55.0,63.0,68.0,64
Expenses,54.0,44.0,46.0,55.0,64.0,50.0,53.0,61.0,67.0,63
Operating Profit,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2
OPM %,1.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,2
Other Income,0.0,0.0,112.0,76.0,66.0,68.0,115.0,53.0,90.0,119
Interest,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Profit before tax,-1.0,-0.0,112.0,77.0,67.0,70.0,117.0,55.0,91.0,120
Tax %,-2.0,-10028.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,
Net Profit,54.0,55.0,72.0,76.0,66.0,69.0,116.0,54.0,91.0,119
EPS in Rs,2556.24,2597.83,3417.77,2479.18,2160.7,2239.43,3775.21,1772.28,2949.9,3882.89
