,2022-03-01,2023-03-01
Sales,39.04,33.86
Expenses,35.28,30.56
Operating Profit,3.76,3.3
OPM %,9.63,9.75
Other Income,0.04,0.04
Interest,2.08,1.55
Depreciation,1.1,1.1
Profit before tax,0.62,0.69
Tax %,33.87,34.78
Net Profit,0.42,0.45
EPS in Rs,0.08,0.09
