,2022-03-01,2023-03-01
Debtor Days,56.75,62.74
Inventory Days,197.13,253.97
Days Payable,51.76,48.19
Cash Conversion Cycle,202.13,268.52
Working Capital Days,171.37,234.46
ROCE %,,6.09
