,2022-06-01,2022-09-01,2023-03-01,2023-06-01,2023-09-01
Sales,7.16,8.05,9.61,14.22,16.1
Expenses,6.38,7.19,8.71,14.38,16.85
Operating Profit,0.78,0.86,0.9,-0.16,-0.75
OPM %,10.89,10.68,9.37,-1.13,-4.66
Other Income,0.02,0.02,0.04,0.31,0.38
Interest,0.42,0.46,0.27,0.59,0.86
Depreciation,0.25,0.27,0.29,0.23,0.25
Profit before tax,0.13,0.15,0.38,-0.67,-1.48
Tax %,38.46,40.0,23.68,-2.99,-1.35
Net Profit,0.07,0.08,0.29,-0.7,-1.49
EPS in Rs,0.01,0.02,0.06,-0.14,-0.29
