,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10.13,10.13,50.65
Reserves,8.28,8.74,7.61
Borrowings,17.27,21.25,26.94
Other Liabilities,4.91,8.61,16.52
Total Liabilities,40.59,48.73,61.31
Fixed Assets,11.16,10.79,21.04
CWIP,0.0,0.0,0.0
Investments,0.0,2.2,4.43
Other Assets,29.43,35.74,35.84
Total Assets,40.59,48.73,61.31
