,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,24.87,35.21,37.93,26.53,38.02,41.45,45.28,44.65,47.56,46.74,47.38,48.29,54.0
Expenses,21.46,27.35,28.68,21.47,30.5,29.38,36.1,35.84,39.55,37.7,37.71,39.86,43.85
Operating Profit,3.41,7.86,9.25,5.06,7.52,12.07,9.18,8.81,8.01,9.04,9.67,8.43,10.15
OPM %,13.71,22.32,24.39,19.07,19.78,29.12,20.27,19.73,16.84,19.34,20.41,17.46,18.8
Other Income,0.81,1.01,0.59,1.0,29.09,1.36,0.47,1.42,1.78,2.07,2.38,2.32,2.43
Interest,0.07,0.07,0.11,0.11,0.06,0.08,0.25,0.07,0.08,0.13,0.12,0.11,0.12
Depreciation,1.28,1.29,1.42,1.17,1.13,1.18,0.95,1.0,1.04,0.93,0.99,0.96,0.92
Profit before tax,2.87,7.51,8.31,4.78,35.42,12.17,8.45,9.16,8.67,10.05,10.94,9.68,11.54
Tax %,26.13,25.57,25.03,25.94,19.4,23.42,25.68,25.0,25.49,26.47,25.5,27.17,24.96
Net Profit,2.12,5.59,6.22,3.54,28.55,9.33,6.28,6.88,6.45,7.39,8.15,7.05,8.66
EPS in Rs,0.23,0.61,0.68,0.39,3.13,1.02,0.69,0.76,0.71,0.81,0.89,0.77,0.95
