,2021-03-01,2022-03-01,2023-03-01
Sales,45.68,89.17,98.43
Expenses,43.66,78.94,87.23
Operating Profit,2.02,10.23,11.2
OPM %,4.42,11.47,11.38
Other Income,1.76,0.18,0.35
Interest,2.2,2.01,2.48
Depreciation,0.9,0.75,0.89
Profit before tax,0.68,7.65,8.18
Tax %,19.12,27.06,31.91
Net Profit,0.56,5.58,5.57
EPS in Rs,29.11,290.02,4.14
