,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-125,59,87,-7,25,6,10
Cash from Investing Activity,124,-64,-79,-14,-20,-41,-38
Cash from Financing Activity,3,3,-8,22,4,27,27
Net Cash Flow,2,-2,0,1,9,-8,0
