,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,95.0,67.0,97.0,96.0,178.0,283.0,187.0,149
Expenses,93.0,65.0,97.0,95.0,159.0,257.0,180.0,148
Operating Profit,2.0,2.0,-0.0,1.0,19.0,26.0,7.0,0
OPM %,2.0,2.0,-0.0,1.0,11.0,9.0,4.0,0
Other Income,4.0,5.0,6.0,10.0,8.0,10.0,16.0,20
Interest,1.0,3.0,1.0,3.0,3.0,4.0,4.0,4
Depreciation,4.0,3.0,4.0,7.0,8.0,11.0,11.0,11
Profit before tax,1.0,1.0,0.0,1.0,15.0,22.0,8.0,6
Tax %,21.0,45.0,155.0,27.0,31.0,26.0,21.0,
Net Profit,1.0,0.0,-0.0,0.0,10.0,16.0,7.0,7
EPS in Rs,0.77,0.51,-0.17,0.65,15.09,23.07,9.44,9.51
