,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,28,33,28.0,44.0,50.0,69.0,64.0,57.0,77.0,96.0,112
Expenses,27,32,26.0,43.0,49.0,68.0,63.0,56.0,76.0,93.0,106
Operating Profit,1,2,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,5
OPM %,4,4,6.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,5
Other Income,0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1
Interest,0,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
Depreciation,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Profit before tax,0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6
Tax %,17,29,33.0,32.0,27.0,23.0,22.0,34.0,28.0,12.0,
Net Profit,0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,5
EPS in Rs,,,1.02,1.25,1.86,2.66,2.59,1.82,2.95,13.12,16.01
