,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,37.54,22.48,14.53,8.84,19.12,17.15,23.78,14.38,25.58
Inventory Days,86.45,58.99,32.3,,,,,,
Days Payable,3462.7,1533.74,1353.41,,,,,,
Cash Conversion Cycle,-3338.71,-1452.27,-1306.58,8.84,19.12,17.15,23.78,14.38,25.58
Working Capital Days,-618.94,-543.35,-453.56,-369.21,-262.05,-342.46,-164.16,-105.35,-97.92
ROCE %,,,,,,,,,2684.21
