,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,9.46,9.46,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96
Reserves,-16.24,-18.14,-19.52,-19.66,-18.87,-19.13,-17.15,-16.77,-15.09,-14.1
Borrowings,1.89,8.9,8.45,7.26,6.43,5.64,4.47,6.38,5.75,5.75
Other Liabilities,15.27,12.59,9.7,8.51,7.25,7.59,7.1,4.87,3.86,3.78
Total Liabilities,10.38,12.81,8.59,6.07,4.77,4.06,4.38,4.44,4.48,5.39
Fixed Assets,6.54,9.24,6.89,4.48,3.34,2.4,1.87,1.49,1.55,1.66
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,3.84,3.5700000000000003,1.7000000000000002,1.59,1.43,1.66,2.51,2.95,2.93,3.73
Total Assets,10.38,12.81,8.59,6.07,4.77,4.06,4.38,4.44,4.48,5.39
