,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7.0,7.47,7.79,8.67,8.97,7.45,12.74,13.2,9.99,10.26
Expenses,10.28,7.49,7.68,7.94,7.64,6.25,9.74,9.45,7.34,7.42
Operating Profit,-3.28,-0.02,0.11,0.73,1.33,1.2,3.0,3.75,2.65,2.84
OPM %,-46.86,-0.27,1.41,8.42,14.83,16.11,23.55,28.41,26.53,27.68
Other Income,0.33,0.17,1.77,1.48,1.7,0.07,0.14,0.15,0.23,0.21
Interest,0.23,0.52,1.06,0.84,0.66,0.59,0.46,0.56,0.65,0.56
Depreciation,1.03,1.92,2.66,1.88,1.29,0.95,0.72,0.55,0.33,0.18
Profit before tax,-4.21,-2.29,-1.84,-0.51,1.08,-0.27,1.96,2.79,1.9,2.31
Tax %,14.73,9.61,5.43,11.76,25.0,18.52,3.06,15.05,12.11,
Net Profit,-3.59,-2.07,-1.74,-0.45,0.82,-0.23,1.9,2.38,1.67,1.99
EPS in Rs,-3.79,-2.0,-1.74,-0.45,0.82,-0.26,2.02,2.27,1.67,1.99
