,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,4.36,5.31,7.94,17.32,16.00
Expenses,4.14,4.92,6.98,16.06,14.47
Operating Profit,0.22,0.39,0.96,1.26,1.53
OPM %,5.05,7.34,12.09,7.27,9.56
Other Income,0.0,0.0,0.04,0.34,0.24
Interest,0.11,0.1,0.16,0.28,0.36
Depreciation,0.07,0.06,0.07,0.11,0.13
Profit before tax,0.04,0.23,0.77,1.21,1.28
Tax %,50.0,30.43,25.97,38.02,
Net Profit,0.03,0.16,0.58,0.74,0.80
EPS in Rs,0.65,3.44,12.47,4.41,4.36
