,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,28.43,5.39,386.47,234.52
Inventory Days,95.07,182.62,,346.7
Days Payable,44.44,89.79,,111.84
Cash Conversion Cycle,79.06,98.22,386.47,469.39
Working Capital Days,142.16,142.23,300.59,1030.59
ROCE %,,12.08,4.31,5.58
