,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,8.0,8.0,8.0,8.0,12.0,13.65,15.7,15.7,15.7,15.7,15.7
Reserves,-0.06,-0.01,0.25,0.71,1.28,0.73,-2.18,-0.9,-0.28,-0.14,0.89
Borrowings,0.1,0.0,0.0,1.79,0.08,0.0,0.0,0.0,0.3,0.13,0.0
Other Liabilities,0.31,0.17,0.44,0.31,1.24,0.84,0.17,0.47,0.04,0.11,0.09
Total Liabilities,8.35,8.16,8.69,10.81,14.6,15.22,13.69,15.27,15.76,15.8,16.68
Fixed Assets,0.12,0.05,0.06,0.04,0.1,0.07,0.04,0.01,0.01,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,3.82,3.89,3.56,3.98,6.21,10.03,6.8100000000000005,7.98,8.51,9.08,9.82
Other Assets,4.41,4.22,5.07,6.79,8.29,5.12,6.84,7.28,7.24,6.72,6.86
Total Assets,8.35,8.16,8.69,10.81,14.6,15.22,13.69,15.27,15.76,15.8,16.68
