,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,120.0,347.0,177.0,397.0,568.0,272.0,304
Expenses,118.0,340.0,181.0,372.0,540.0,272.0,293
Operating Profit,2.0,8.0,-4.0,25.0,28.0,-1.0,11
OPM %,2.0,2.0,-2.0,6.0,5.0,-0.0,4
Other Income,1.0,0.0,1.0,2.0,1.0,2.0,2
Interest,2.0,8.0,6.0,6.0,4.0,6.0,6
Depreciation,0.0,4.0,5.0,2.0,2.0,2.0,3
Profit before tax,1.0,-4.0,-14.0,19.0,23.0,-7.0,5
Tax %,82.0,-2.0,3.0,6.0,23.0,-2.0,
Net Profit,0.0,-5.0,-14.0,18.0,18.0,-8.0,4
EPS in Rs,0.05,-0.53,-1.56,1.99,2.04,-0.85,0.50
