,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,26,0,11,11,11,11,11.0
Reserves,-42,602,643,688,756,857,903.0
Preference Capital,28,0,0,0,0,0,
Borrowings,124,61,43,1,1,95,208.0
Other Liabilities,53,120,113,124,153,208,244.0
Total Liabilities,162,783,811,825,922,1170,1367.0
Fixed Assets,89,290,267,283,209,430,425.0
CWIP,10,15,45,12,22,43,177.0
Investments,0,175,185,312,279,238,177.0
Other Assets,63,303,313,219,412,460,589.0
Total Assets,162,783,811,825,922,1170,1367.0
