,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1252.0,1271.0,1649.0,1851.0,1602.0,1426.0,1751.0,2320.0,2450
Expenses,1164.0,1170.0,1515.0,1698.0,1443.0,1326.0,1616.0,2112.0,2239
Operating Profit,89.0,101.0,135.0,154.0,158.0,100.0,135.0,208.0,211
OPM %,7.0,8.0,8.0,8.0,10.0,7.0,8.0,9.0,9
Other Income,4.0,17.0,19.0,57.0,19.0,27.0,3.0,51.0,56
Interest,13.0,11.0,8.0,16.0,22.0,29.0,22.0,30.0,37
Depreciation,38.0,41.0,48.0,60.0,64.0,65.0,64.0,80.0,84
Profit before tax,41.0,65.0,98.0,134.0,92.0,33.0,53.0,149.0,146
Tax %,10.0,16.0,27.0,23.0,22.0,45.0,23.0,31.0,
Net Profit,52.0,54.0,71.0,104.0,72.0,18.0,41.0,103.0,100
EPS in Rs,55.66,58.16,76.34,111.03,76.92,19.42,43.56,110.27,106.61
