,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,50.04,50.04,50.04,50.04,40.37,40.37,37.46
Public,49.96,49.96,49.96,49.96,59.63,59.63,62.53
No. of Shareholders,1636.0,1635.0,1634.0,1634.0,2433.0,2440.0,2518.0
