,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,2.72,1.82,2.69,2.12,2.54,0.65,2.74,1.25,1.89,1.49
Expenses,2.46,1.67,2.12,0.59,2.26,0.26,2.61,-0.16,4.01,0.58
Operating Profit,0.26,0.15,0.57,1.53,0.28,0.39,0.13,1.41,-2.12,0.91
OPM %,9.56,8.24,21.19,72.17,11.02,60.0,4.74,112.8,-112.17,61.07
Other Income,0.0,0.04,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
Interest,0.0,0.0,0.1,0.28,0.29,0.0,0.0,0.0,0.0,0.0
Depreciation,0.05,0.05,0.19,0.04,0.12,0.06,0.06,0.04,0.04,0.02
Profit before tax,0.21,0.14,0.28,1.23,-0.13,0.33,0.07,1.37,-2.16,0.89
Tax %,23.81,28.57,10.71,11.38,-69.23,15.15,71.43,5.11,-4.63,8.99
Net Profit,0.15,0.11,0.25,1.08,-0.22,0.28,0.03,1.3,-2.27,0.81
EPS in Rs,0.06,0.04,0.1,0.43,-0.09,0.11,0.01,0.52,-0.91,0.32
