,2018-03-01,2018-09-01,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Promoters,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.04
Public,75.95,75.95,75.95,75.95,75.95,75.95,75.95,75.95,75.95,75.95,75.96,75.96
No. of Shareholders,268.0,268.0,258.0,249.0,222.0,221.0,222.0,226.0,259.0,260.0,252.0,244.0
