,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,2.26,-8.59,-11.42,15.16,7.11,-18.23,-12.79,25.5,3.77,-10.04,-1.8
Cash from Investing Activity,1.47,1.04,2.06,1.57,3.06,2.04,0.6000000000000001,0.07,0.91,3.01,1.29
Cash from Financing Activity,-3.69,7.51,10.19,-17.37,-4.3,13.54,11.55,-21.05,-7.09,4.85,0.93
Net Cash Flow,0.04,-0.04,0.8300000000000001,-0.64,5.87,-2.65,-0.65,4.52,-2.41,-2.17,0.43
