,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7.05,17.64,20.79,10.53,49.36,29.58,39.63,37.85,16.0,12.89,42.06,38.36
Expenses,7.18,13.53,18.55,7.68,47.15,28.79,35.61,36.13,18.28,13.41,40.15,37.94
Operating Profit,-0.13,4.11,2.24,2.85,2.21,0.79,4.02,1.72,-2.28,-0.52,1.91,0.42
OPM %,-1.84,23.3,10.77,27.07,4.48,2.67,10.14,4.54,-14.25,-4.03,4.54,1.09
Other Income,2.07,1.53,1.64,1.57,1.33,1.85,1.34,2.04,2.29,1.54,2.33,2.67
Interest,2.44,1.71,0.78,0.57,2.1,1.85,1.83,3.34,3.52,2.22,1.76,1.39
Depreciation,0.14,0.15,0.22,0.14,0.09,0.12,0.12,0.11,0.07,0.05,0.09,0.09
Profit before tax,-0.64,3.78,2.88,3.71,1.35,0.67,3.41,0.31,-3.58,-1.25,2.39,1.61
Tax %,31.25,31.22,30.56,40.97,41.48,59.7,36.36,54.84,21.79,46.4,62.76,
Net Profit,-0.43,2.6,2.01,2.19,0.81,0.27,2.17,0.14,-2.8,-0.67,0.89,0.34
EPS in Rs,-1.32,8.01,6.19,6.74,2.49,0.83,6.68,0.43,-8.62,-2.06,0.89,1.05
