,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.45,3.45,3.45,3.25
Reserves,3.47,4.41,5.29,6.41,7.49,7.38,9.25,12.55,9.8,9.47,10.11,9.2
Preference Capital,7.0,7.0,7.0,7.0,0.0,7.0,7.0,0.0,3.83,4.17,4.55,
Borrowings,46.72,57.29,74.38,63.65,65.96,88.54,101.36,88.26,80.8,87.52,89.56,89.98
Other Liabilities,17.89,27.4,33.03,36.7,18.84,13.93,20.54,11.54,16.72,22.82,17.19,19.99
Total Liabilities,71.52,92.54,116.14,110.2,95.73,113.29,134.59,115.79,110.77,123.26,120.31,122.62
Fixed Assets,1.27,0.95,0.51,0.27,0.29,0.28,0.16,0.13,0.06,0.19,0.18,0.18
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,1.9,2.52,2.14,2.07,7.04,2.88,2.77,5.51,4.08,2.12,1.23,0.81
Other Assets,68.35,89.07,113.49,107.86,88.4,110.13,131.66,110.15,106.63,120.95,118.9,121.63
Total Assets,71.52,92.54,116.14,110.2,95.73,113.29,134.59,115.79,110.77,123.26,120.31,122.62
