,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.05,0.05,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36
Reserves,0.0,4.02,0.43,0.2,-0.05,-0.03,-0.21,-0.14,0.08,1.09,4.06
Borrowings,0.0,0.0,0.01,0.08,0.15,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,0.0,0.29,0.26,0.16,0.18,0.34,0.35,0.47,0.58,1.46,2.22
Total Liabilities,0.05,4.36,4.06,3.8,3.64,3.67,3.5,3.69,4.02,5.91,9.64
Fixed Assets,0.0,0.93,0.73,0.55,0.35,0.18,0.01,0.0,0.0,0.37,0.37
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.06,0.06,0.06,0.06
Other Assets,0.05,3.43,3.33,3.25,3.29,3.43,3.43,3.63,3.96,5.48,9.21
Total Assets,0.05,4.36,4.06,3.8,3.64,3.67,3.5,3.69,4.02,5.91,9.64
