,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,0.0,-0.02,-3.34,-0.05,0.21,0.28,0.18,-0.16,-0.16,-0.54
Cash from Investing Activity,0.0,0.02,0.0,-0.03,-0.03,0.0,0.0,0.0,0.0,-0.37
Cash from Financing Activity,0.05,0.0,3.31,0.07,0.07,-0.3,-0.3,0.1,0.17,0.99
Net Cash Flow,0.05,0.0,-0.03,0.0,0.25,-0.02,-0.12,-0.06,0.01,0.08
