,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,47.65,55.81,55.81,55.81,55.81,55.81,59.31
Public,52.35,44.19,44.19,44.2,44.19,44.19,40.69
No. of Shareholders,290.0,283.0,292.0,415.0,375.0,356.0,360.0
