,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,7.98,3.86,4.2,1.3,5.61,7.9,11.89,10.83,13.34,5.38
Expenses,8.07,3.45,4.18,1.46,6.22,8.51,10.84,10.34,12.9,5.05
Operating Profit,-0.09,0.41,0.02,-0.16,-0.61,-0.61,1.05,0.49,0.44,0.33
OPM %,-1.13,10.62,0.48,-12.31,-10.87,-7.72,8.83,4.52,3.3,6.13
Other Income,0.13,0.07,0.3,0.09,0.32,0.09,0.46,0.09,0.12,0.06
Interest,0.16,0.15,0.11,0.06,0.31,0.14,0.09,0.17,0.07,0.15
Depreciation,0.2,0.19,0.2,0.2,0.02,0.08,0.14,0.06,0.16,0.02
Profit before tax,-0.32,0.14,0.01,-0.33,-0.62,-0.74,1.28,0.35,0.33,0.22
Tax %,31.25,28.57,0.0,0.0,3.23,0.0,3.91,17.14,36.36,27.27
Net Profit,-0.23,0.1,0.01,-0.33,-0.59,-0.74,1.23,0.29,0.21,0.16
EPS in Rs,-0.34,0.15,0.01,-0.49,-0.88,-1.11,1.84,0.43,0.31,0.24
