,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.59,1.62,1.83,1.73
Expenses,0.36,0.37,0.51,0.59
Operating Profit,1.23,1.25,1.32,1.14
OPM %,77.36,77.16,72.13,65.90
Other Income,0.03,0.01,0.01,0.08
Interest,0.97,0.93,0.95,0.98
Depreciation,0.23,0.22,0.22,0.24
Profit before tax,0.06,0.11,0.16,0.00
Tax %,100.00,-63.64,-6.25,
Net Profit,0.00,0.19,0.17,-0.01
EPS in Rs,,,,
