,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,49.4,49.62,50.27,50.37,49.25,47.83,48.91,48.9
FIIs,2.22,2.12,0.0,0.0,0.0,0.02,0.18,0.21
DIIs,0.0,0.03,0.0,0.0,0.0,0.0,0.51,0.61
Public,48.38,48.24,49.73,49.63,50.75,52.15,50.39,50.3
No. of Shareholders,6451.0,6220.0,6577.0,6563.0,9084.0,18560.0,22033.0,36150.0
