,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,178.33,132.18,185.69,150.91,167.57,175.71,163.79,195.32,141.89,154.11,129.74,101.21
Expenses,134.28,97.56,152.2,121.95,136.75,150.5,139.33,160.89,113.26,132.08,108.0,82.27
Operating Profit,44.05,34.62,33.49,28.96,30.82,25.21,24.46,34.43,28.63,22.03,21.74,18.94
OPM %,24.7,26.19,18.04,19.19,18.39,14.35,14.93,17.63,20.18,14.29,16.76,18.71
Other Income,1.76,2.15,0.68,0.12,0.2,0.45,-1.66,-4.79,0.07,-6.84,-55.02,-7.36
Interest,1.92,2.15,2.79,2.5,2.84,4.49,2.58,3.64,6.74,5.97,8.75,8.26
Depreciation,3.96,4.43,4.13,4.41,4.86,4.24,4.08,4.0,6.92,4.69,6.31,6.66
Profit before tax,39.93,30.19,27.25,22.17,23.32,16.93,16.14,22.0,15.04,4.53,-48.34,-3.34
Tax %,33.83,29.51,29.5,22.19,25.21,-3.25,25.53,25.64,26.53,20.53,0.25,-3.59
Net Profit,26.42,21.28,19.22,17.25,17.45,17.47,12.02,16.36,11.05,3.59,-48.21,-3.46
EPS in Rs,9.57,7.71,6.96,6.25,6.32,6.33,4.36,5.93,4.0,1.3,-17.47,-1.25
