,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,21.83,23.4,24.65,23.64,28.51,30.78
Expenses,18.95,19.43,19.64,20.66,25.61,27.41
Operating Profit,2.88,3.97,5.01,2.98,2.9,3.37
OPM %,13.19,16.97,20.32,12.61,10.17,10.95
Other Income,1.36,0.14,0.24,0.18,0.4,0.56
Interest,0.85,0.6,0.6,0.26,0.17,0.13
Depreciation,1.0,1.05,0.99,0.81,0.78,0.89
Profit before tax,2.39,2.46,3.66,2.09,2.35,2.91
Tax %,27.62,26.83,25.41,27.75,21.28,
Net Profit,1.73,1.8,2.73,1.52,1.85,2.27
EPS in Rs,173.0,180.0,136.5,2.53,2.47,3.02
